Warrior | floor 0 | level 3 | party 1 | gold 1670 | town_trips 0 | care_gold 0 | potions 7 | PASS
Warrior | floor 1 | level 4 | party 1 | gold 3619 | town_trips 4 | care_gold 96 | potions 12 | PASS
Warrior | floor 2 | level 5 | party 1 | gold 6210 | town_trips 5 | care_gold 123 | potions 24 | PASS
Warrior | floor 3 | level 6 | party 2 | gold 9086 | town_trips 10 | care_gold 351 | potions 34 | PASS
Warrior | floor 4 | level 8 | party 2 | gold 18185 | town_trips 25 | care_gold 1230 | potions 79 | PASS
Warrior | floor 5 | level 10 | party 2 | gold 27496 | town_trips 41 | care_gold 2295 | potions 120 | PASS
Warrior | floor 6 | level 11 | party 2 | gold 37263 | town_trips 57 | care_gold 3549 | potions 147 | PASS
Warrior | floor 7 | level 12 | party 3 | gold 46536 | town_trips 74 | care_gold 5598 | potions 179 | PASS
Warrior | floor 8 | level 14 | party 3 | gold 60351 | town_trips 90 | care_gold 7614 | potions 228 | PASS
Warrior | floor 9 | level 16 | party 4 | gold 77352 | town_trips 111 | care_gold 11667 | potions 279 | PASS
Warrior | floor 10 | level 17 | party 4 | gold 100761 | town_trips 130 | care_gold 15513 | potions 360 | PASS
Warrior | floor 11 | level 19 | party 4 | gold 119649 | town_trips 145 | care_gold 18990 | potions 398 | PASS
Warrior | floor 12 | level 20 | party 4 | gold 147851 | town_trips 159 | care_gold 22488 | potions 460 | PASS
Warrior | floor 13 | level 21 | party 5 | gold 163062 | town_trips 179 | care_gold 28998 | potions 503 | PASS
Warrior | floor 14 | level 23 | party 5 | gold 191115 | town_trips 211 | care_gold 39738 | potions 552 | PASS
Warrior | floor 15 | level 25 | party 5 | gold 229297 | town_trips 232 | care_gold 47598 | potions 682 | PASS
Warrior | floor 16 | level 26 | party 5 | gold 262623 | town_trips 258 | care_gold 57513 | potions 784 | PASS
Warrior | floor 17 | level 27 | party 5 | gold 291060 | town_trips 284 | care_gold 68358 | potions 891 | PASS
Mage | floor 0 | level 3 | party 1 | gold 1670 | town_trips 0 | care_gold 0 | potions 9 | PASS
Mage | floor 1 | level 4 | party 1 | gold 3260 | town_trips 1 | care_gold 24 | potions 16 | PASS
Mage | floor 2 | level 5 | party 1 | gold 6061 | town_trips 2 | care_gold 51 | potions 28 | PASS
Mage | floor 3 | level 6 | party 2 | gold 8963 | town_trips 6 | care_gold 234 | potions 40 | PASS
Mage | floor 4 | level 8 | party 2 | gold 18052 | town_trips 24 | care_gold 1284 | potions 94 | PASS
Mage | floor 5 | level 10 | party 2 | gold 27049 | town_trips 44 | care_gold 2625 | potions 137 | PASS
Mage | floor 6 | level 11 | party 2 | gold 36411 | town_trips 66 | care_gold 4284 | potions 164 | PASS
Mage | floor 7 | level 12 | party 3 | gold 45870 | town_trips 83 | care_gold 6252 | potions 190 | PASS
Mage | floor 8 | level 14 | party 3 | gold 59664 | town_trips 99 | care_gold 8391 | potions 239 | PASS
Mage | floor 9 | level 16 | party 4 | gold 76855 | town_trips 119 | care_gold 12249 | potions 296 | PASS
Mage | floor 10 | level 17 | party 4 | gold 99213 | town_trips 141 | care_gold 16740 | potions 375 | PASS
Mage | floor 11 | level 19 | party 4 | gold 118410 | town_trips 153 | care_gold 19524 | potions 437 | PASS
Mage | floor 12 | level 20 | party 4 | gold 146754 | town_trips 166 | care_gold 22767 | potions 503 | PASS
Mage | floor 13 | level 21 | party 5 | gold 160536 | town_trips 190 | care_gold 30597 | potions 555 | PASS
Mage | floor 14 | level 23 | party 5 | gold 188160 | town_trips 222 | care_gold 41352 | potions 610 | PASS
Mage | floor 15 | level 25 | party 5 | gold 225966 | town_trips 244 | care_gold 49587 | potions 754 | PASS
Mage | floor 16 | level 26 | party 5 | gold 258309 | town_trips 272 | care_gold 60252 | potions 852 | PASS
Mage | floor 17 | level 27 | party 5 | gold 288570 | town_trips 294 | care_gold 69432 | potions 967 | PASS
Ranger | floor 0 | level 3 | party 1 | gold 1691 | town_trips 0 | care_gold 0 | potions 6 | PASS
Ranger | floor 1 | level 4 | party 1 | gold 3420 | town_trips 1 | care_gold 24 | potions 16 | PASS
Ranger | floor 2 | level 5 | party 1 | gold 6251 | town_trips 3 | care_gold 81 | potions 26 | PASS
Ranger | floor 3 | level 6 | party 2 | gold 8834 | town_trips 4 | care_gold 81 | potions 31 | PASS
Ranger | floor 4 | level 8 | party 2 | gold 18451 | town_trips 19 | care_gold 954 | potions 68 | PASS
Ranger | floor 5 | level 10 | party 2 | gold 28135 | town_trips 30 | care_gold 1662 | potions 95 | PASS
Ranger | floor 6 | level 11 | party 2 | gold 37990 | town_trips 45 | care_gold 2778 | potions 115 | PASS
Ranger | floor 7 | level 12 | party 3 | gold 47877 | town_trips 58 | care_gold 4254 | potions 144 | PASS
Ranger | floor 8 | level 14 | party 3 | gold 61545 | town_trips 76 | care_gold 6657 | potions 189 | PASS
Ranger | floor 9 | level 16 | party 4 | gold 79892 | town_trips 91 | care_gold 9528 | potions 248 | PASS
Ranger | floor 10 | level 17 | party 4 | gold 103962 | town_trips 107 | care_gold 12741 | potions 316 | PASS
Ranger | floor 11 | level 19 | party 4 | gold 124689 | town_trips 115 | care_gold 14370 | potions 362 | PASS
